型番,カード名,レアリティ,画像URL,画像タイトル,参照価格,元URL,カテゴリ,デフォルト動画,デフォルトバッジ,dopaID,wp_id,source
055/050,ルザミーネ,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/055-050_minnanotoreca-10331882.webp,ルザミーネ（SR）[055/050],,https://dopa-game.jp/pokemon/dp/10331882,,,,10331882,28319,DOPA
090/088,ゲンガーEX,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/090-088_minnanotoreca-10299311.webp,ゲンガーEX（SR）[090/088],,https://dopa-game.jp/pokemon/dp/10299311,,,,10299311,28320,DOPA
{051/050} [その他],ミュウEX,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/051-050_minnanotoreca-10346845.webp,ミュウEX（SR）[{051/050} [その他]],,https://dopa-game.jp/pokemon/dp/10346845,,,,10346845,28321,DOPA
{015/034} [CP1],マグマ団のグラードンEX,RR,https://minnano-toreka.com/wp-content/uploads/2026/08/015-034-CP1_minnanotoreca-10346844.webp,マグマ団のグラードンEX（RR）[{015/034} [CP1]],,https://dopa-game.jp/pokemon/dp/10346844,,,,10346844,28322,DOPA
101/095,ピカチュウ＆ゼクロムGX,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/101-095_minnanotoreca-10240079.webp,ピカチュウ＆ゼクロムGX（SR）[101/095],,https://dopa-game.jp/pokemon/dp/10240079,,,,10240079,28323,DOPA
171/151,ピカチュウ(中国語版),AR,https://minnano-toreka.com/wp-content/uploads/2026/08/171-151_minnanotoreca-10334897.webp,ピカチュウ(中国語版)（AR）[171/151],,https://dopa-game.jp/pokemon/dp/10334897,,,,10334897,28324,DOPA
093/069,ニンフィアVMAX,HR,https://minnano-toreka.com/wp-content/uploads/2026/08/093-069_minnanotoreca-10311851.webp,ニンフィアVMAX（HR）[093/069],,https://dopa-game.jp/pokemon/dp/10311851,,,,10311851,28325,DOPA
090/S-P,リーリエ(SR仕様/中国語版),P,https://minnano-toreka.com/wp-content/uploads/2026/08/090-S-P_minnanotoreca-10333636.webp,リーリエ(SR仕様/中国語版)（P）[090/S-P],,https://dopa-game.jp/pokemon/dp/10333636,,,,10333636,28326,DOPA
024/020,ミュウEX,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/024-020_minnanotoreca-10280194.webp,ミュウEX（SR）[024/020],,https://dopa-game.jp/pokemon/dp/10280194,,,,10280194,28327,DOPA
068/SM-P,ピカチュウ,P,https://minnano-toreka.com/wp-content/uploads/2026/08/068-SM-P_minnanotoreca-10330332.webp,ピカチュウ（P）[068/SM-P],,https://dopa-game.jp/pokemon/dp/10330332,,,,10330332,28328,DOPA
