型番,カード名,レアリティ,画像URL,画像タイトル,参照価格,元URL,カテゴリ,デフォルト動画,デフォルトバッジ,dopaID,wp_id,source
ST10-006,モンキー・D・ルフィ,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/ST10-006_minnanotoreca-10346071.webp,モンキー・D・ルフィ（SR）[ST10-006],,https://dopa-game.jp/one-piece/dp/10346071,,,,10346071,31626,DOPA(ワンピ)
OP03-108,シャーロット・クラッカー,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/OP03-108_minnanotoreca-10346072.webp,シャーロット・クラッカー（SR）[OP03-108],,https://dopa-game.jp/one-piece/dp/10346072,,,,10346072,31627,DOPA(ワンピ)
ST06-004,スモーカー,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/ST06-004_minnanotoreca-10346073.webp,スモーカー（SR）[ST06-004],,https://dopa-game.jp/one-piece/dp/10346073,,,,10346073,31628,DOPA(ワンピ)
OP08-074,ブラックマリア,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/OP08-074_minnanotoreca-10276115.webp,ブラックマリア（SR）[OP08-074],,https://dopa-game.jp/one-piece/dp/10346074,,,,10346074,30994,DOPA(ワンピ)
ST11-004,新時代,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/ST11-004_minnanotoreca-10346075.webp,新時代（SR）[ST11-004],,https://dopa-game.jp/one-piece/dp/10346075,,,,10346075,31629,DOPA(ワンピ)
OP09-093,マーシャル・D・ティーチ(パラレル/銀背景),SR,https://minnano-toreka.com/wp-content/uploads/2026/08/OP09-093_minnanotoreca-10346286.webp,マーシャル・D・ティーチ(パラレル/銀背景)（SR）[OP09-093],,https://dopa-game.jp/one-piece/dp/10346286,,,,10346286,31630,DOPA(ワンピ)
P-038,トラファルガー・ロー,P,https://minnano-toreka.com/wp-content/uploads/2026/08/P-038_minnanotoreca-10346364.webp,トラファルガー・ロー（P）[P-038],,https://dopa-game.jp/one-piece/dp/10346364,,,,10346364,31631,DOPA(ワンピ)
ST01-006,トニートニー・チョッパー(中国版/illust:TAPIOCA),C,https://minnano-toreka.com/wp-content/uploads/2026/08/ST01-006_minnanotoreca-10346491.webp,トニートニー・チョッパー(中国版/illust:TAPIOCA)（C）[ST01-006],,https://dopa-game.jp/one-piece/dp/10346491,,,,10346491,31632,DOPA(ワンピ)
OP07-021,ウルージ(パラレル/SP/illust:Bashikou),R,https://minnano-toreka.com/wp-content/uploads/2026/08/OP07-021_minnanotoreca-10346492.webp,ウルージ(パラレル/SP/illust:Bashikou)（R）[OP07-021],,https://dopa-game.jp/one-piece/dp/10346492,,,,10346492,31633,DOPA(ワンピ)
OP02-013,ポートガス・D・エース(コンパス背景/漫画絵),SR,https://minnano-toreka.com/wp-content/uploads/2026/08/OP02-013_minnanotoreca-10304592.webp,ポートガス・D・エース(コンパス背景/漫画絵)（SR）[OP02-013],,https://dopa-game.jp/one-piece/dp/10346493,,,,10346493,31138,DOPA(ワンピ)
OP03-056,サンジのピラフ,UC,https://minnano-toreka.com/wp-content/uploads/2026/08/OP03-056_minnanotoreca-10346494.webp,サンジのピラフ（UC）[OP03-056],,https://dopa-game.jp/one-piece/dp/10346494,,,,10346494,31634,DOPA(ワンピ)
-,ドン!!カード(いつかまた会えたら!!!もう一度仲間と呼んでくれますか!!!?),-,https://minnano-toreka.com/wp-content/uploads/2026/08/none_minnanotoreca-10346495.webp,ドン!!カード(いつかまた会えたら!!!もう一度仲間と呼んでくれますか!!!?)（-）[-],,https://dopa-game.jp/one-piece/dp/10346495,,,,10346495,31635,DOPA(ワンピ)
OP02-093,スモーカー(パラレル/漫画絵),L,https://minnano-toreka.com/wp-content/uploads/2026/08/OP02-093_minnanotoreca-10346506.webp,スモーカー(パラレル/漫画絵)（L）[OP02-093],,https://dopa-game.jp/one-piece/dp/10346506,,,,10346506,31636,DOPA(ワンピ)
ST13-001,サボ(パラレル/白黒版),L,https://minnano-toreka.com/wp-content/uploads/2026/08/ST13-001_minnanotoreca-10240419.webp,サボ(パラレル/白黒版)（L）[ST13-001],,https://dopa-game.jp/one-piece/dp/10346507,,,,10346507,30821,DOPA(ワンピ)
{EB01-012},(未開封)キャベンディッシュ,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/EB01-012_minnanotoreca-10276080.webp,(未開封)キャベンディッシュ（SR）[{EB01-012}],,https://dopa-game.jp/one-piece/dp/10347387,,,,10347387,30978,DOPA(ワンピ)
(EB03-031),ヴィンスモーク・レイジュ,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/EB03-031_minnanotoreca-10347388.webp,ヴィンスモーク・レイジュ（SR）[(EB03-031)],,https://dopa-game.jp/one-piece/dp/10347388,,,,10347388,31637,DOPA(ワンピ)
(OP08-106),ナミ(illust.SHIE NANAHARA),SR,https://minnano-toreka.com/wp-content/uploads/2026/08/OP08-106_minnanotoreca-10347389.webp,ナミ(illust.SHIE NANAHARA)（SR）[(OP08-106)],,https://dopa-game.jp/one-piece/dp/10347389,,,,10347389,31638,DOPA(ワンピ)
(OP14-112),ボア・ハンコック,SR★,https://minnano-toreka.com/wp-content/uploads/2026/08/OP14-112_minnanotoreca-10347390.webp,ボア・ハンコック（SR★）[(OP14-112)],,https://dopa-game.jp/one-piece/dp/10347390,,,,10347390,31639,DOPA(ワンピ)
-,ドン!!カード(金枠/Heroines Special Set),-,https://minnano-toreka.com/wp-content/uploads/2026/08/none_minnanotoreca-10347391.webp,ドン!!カード(金枠/Heroines Special Set)（-）[-],,https://dopa-game.jp/one-piece/dp/10347391,,,,10347391,31640,DOPA(ワンピ)
-,ドン!!カード(金枠/全身王冠/ナミ),-,https://minnano-toreka.com/wp-content/uploads/2026/08/none_minnanotoreca-10347392.webp,ドン!!カード(金枠/全身王冠/ナミ)（-）[-],,https://dopa-game.jp/one-piece/dp/10347392,,,,10347392,31641,DOPA(ワンピ)
{OP09-001},シャンクス(未開封/日本語版/English 2nd ANNIVERSARY SET),L,https://minnano-toreka.com/wp-content/uploads/2026/08/OP09-001_minnanotoreca-10347393.webp,シャンクス(未開封/日本語版/English 2nd ANNIVERSARY SET)（L）[{OP09-001}],,https://dopa-game.jp/one-piece/dp/10347393,,,,10347393,31642,DOPA(ワンピ)
{P-080},モンキー・D・ルフィ(未開封/MOSBURGER/illust:otton),P,https://minnano-toreka.com/wp-content/uploads/2026/08/P-080_minnanotoreca-10347394.webp,モンキー・D・ルフィ(未開封/MOSBURGER/illust:otton)（P）[{P-080}],,https://dopa-game.jp/one-piece/dp/10347394,,,,10347394,31643,DOPA(ワンピ)
{OP14-041},ボア・ハンコック(パラレル/illust:nuisuke),L,https://minnano-toreka.com/wp-content/uploads/2026/08/OP14-041_minnanotoreca-10347395.webp,ボア・ハンコック(パラレル/illust:nuisuke)（L）[{OP14-041}],,https://dopa-game.jp/one-piece/dp/10347395,,,,10347395,31644,DOPA(ワンピ)
{OP13-091},マーカス・マーズ聖(パラレル/赤文字/illust:Gege Akutami),R,https://minnano-toreka.com/wp-content/uploads/2026/08/OP13-091_minnanotoreca-10347396.webp,マーカス・マーズ聖(パラレル/赤文字/illust:Gege Akutami)（R）[{OP13-091}],,https://dopa-game.jp/one-piece/dp/10347396,,,,10347396,31645,DOPA(ワンピ)
{OP13-089},トップマン・ウォーキュリー聖(パラレル/赤文字/illust:Gege Akutami),R,https://minnano-toreka.com/wp-content/uploads/2026/08/OP13-089_minnanotoreca-10347397.webp,トップマン・ウォーキュリー聖(パラレル/赤文字/illust:Gege Akutami)（R）[{OP13-089}],,https://dopa-game.jp/one-piece/dp/10347397,,,,10347397,31646,DOPA(ワンピ)
{OP13-084},シェパード・十・ピーター聖(パラレル/赤文字/illust:Gege Akutami),R,https://minnano-toreka.com/wp-content/uploads/2026/08/OP13-084_minnanotoreca-10347398.webp,シェパード・十・ピーター聖(パラレル/赤文字/illust:Gege Akutami)（R）[{OP13-084}],,https://dopa-game.jp/one-piece/dp/10347398,,,,10347398,31647,DOPA(ワンピ)
OP10-065,シュガー(パラレル/SP/和柄/illust:Denim2),R,https://minnano-toreka.com/wp-content/uploads/2026/08/OP10-065_minnanotoreca-10347400.webp,シュガー(パラレル/SP/和柄/illust:Denim2)（R）[OP10-065],,https://dopa-game.jp/one-piece/dp/10347400,,,,10347400,31648,DOPA(ワンピ)
OP01-016,ナミ(パラレル/illust:Sunohara/青背景/ウィンク),R,https://minnano-toreka.com/wp-content/uploads/2026/08/OP01-016_minnanotoreca-10347401.webp,ナミ(パラレル/illust:Sunohara/青背景/ウィンク)（R）[OP01-016],,https://dopa-game.jp/one-piece/dp/10347401,,,,10347401,31649,DOPA(ワンピ)
EB03-042,コアラ(パラレル/SP/タロット柄),SP,https://minnano-toreka.com/wp-content/uploads/2026/08/EB03-042_minnanotoreca-10347402.webp,コアラ(パラレル/SP/タロット柄)（SP）[EB03-042],,https://dopa-game.jp/one-piece/dp/10347402,,,,10347402,31650,DOPA(ワンピ)
EB03-061,ウタ(パラレル/漫画背景/漫画絵),SEC,https://minnano-toreka.com/wp-content/uploads/2026/08/EB03-061_minnanotoreca-10347403.webp,ウタ(パラレル/漫画背景/漫画絵)（SEC）[EB03-061],,https://dopa-game.jp/one-piece/dp/10347403,,,,10347403,31651,DOPA(ワンピ)
OP14-112,ボア・ハンコック(パラレル/SP/和柄/illust:otton),SP,https://minnano-toreka.com/wp-content/uploads/2026/08/OP14-112_minnanotoreca-10347404.webp,ボア・ハンコック(パラレル/SP/和柄/illust:otton)（SP）[OP14-112],,https://dopa-game.jp/one-piece/dp/10347404,,,,10347404,31652,DOPA(ワンピ)
OP13-083,ジェイガルシア・サターン聖(パラレル/赤文字/illust:Gege Akutami),R,https://minnano-toreka.com/wp-content/uploads/2026/08/OP13-083_minnanotoreca-10347405.webp,ジェイガルシア・サターン聖(パラレル/赤文字/illust:Gege Akutami)（R）[OP13-083],,https://dopa-game.jp/one-piece/dp/10347405,,,,10347405,31653,DOPA(ワンピ)
OP11-106,ゼウス(illust:kusunoki harui),R,https://minnano-toreka.com/wp-content/uploads/2026/08/OP11-106_minnanotoreca-10347406.webp,ゼウス(illust:kusunoki harui)（R）[OP11-106],,https://dopa-game.jp/one-piece/dp/10347406,,,,10347406,31654,DOPA(ワンピ)
OP09-061,モンキー・D・ルフィ(illust:otton),L,https://minnano-toreka.com/wp-content/uploads/2026/08/OP09-061_minnanotoreca-10347407.webp,モンキー・D・ルフィ(illust:otton)（L）[OP09-061],,https://dopa-game.jp/one-piece/dp/10347407,,,,10347407,31655,DOPA(ワンピ)
OP09-078,ゴムゴムの巨人(パラレル/漫画絵),R,https://minnano-toreka.com/wp-content/uploads/2026/08/OP09-078_minnanotoreca-10347411.webp,ゴムゴムの巨人(パラレル/漫画絵)（R）[OP09-078],,https://dopa-game.jp/one-piece/dp/10347411,,,,10347411,31656,DOPA(ワンピ)
{OP06-093},ペローナ(illust:nuisuke),-,https://minnano-toreka.com/wp-content/uploads/2026/08/OP06-093_minnanotoreca-10296375.webp,ペローナ(illust:nuisuke)（-）[{OP06-093}],,https://dopa-game.jp/one-piece/dp/10347571,,,,10347571,31089,DOPA(ワンピ)
-,ドン!!カード(金枠/ホーディ),-,https://minnano-toreka.com/wp-content/uploads/2026/08/none_minnanotoreca-10316852.webp,ドン!!カード(金枠/ホーディ)（-）[-],,https://dopa-game.jp/one-piece/dp/10347572,,,,10347572,31278,DOPA(ワンピ)
-,ドン!!カード(金枠/エース),-,https://minnano-toreka.com/wp-content/uploads/2026/08/none_minnanotoreca-10347573.webp,ドン!!カード(金枠/エース)（-）[-],,https://dopa-game.jp/one-piece/dp/10347573,,,,10347573,31657,DOPA(ワンピ)
P-031,(PSA10)ウタ,P,https://minnano-toreka.com/wp-content/uploads/2026/08/P-031_minnanotoreca-10347611.webp,(PSA10)ウタ（P）[P-031],,https://dopa-game.jp/one-piece/dp/10347611,,,,10347611,31658,DOPA(ワンピ)
OP01-016,(PSA10)ナミ(英語版/illust:Ono Tako),R,https://minnano-toreka.com/wp-content/uploads/2026/08/OP01-016_minnanotoreca-10322412.webp,(PSA10)ナミ(英語版/illust:Ono Tako)（R）[OP01-016],,https://dopa-game.jp/one-piece/dp/10347703,,,,10347703,31406,DOPA(ワンピ)
OP01-017,(PSA10)ニコ・ロビン(英語版/illust:Ono Tako),R,https://minnano-toreka.com/wp-content/uploads/2026/08/OP01-017_minnanotoreca-10347704.webp,(PSA10)ニコ・ロビン(英語版/illust:Ono Tako)（R）[OP01-017],,https://dopa-game.jp/one-piece/dp/10347704,,,,10347704,31659,DOPA(ワンピ)
OP01-017,(PSA10)ニコ・ロビン(白枠),R,https://minnano-toreka.com/wp-content/uploads/2026/08/OP01-017_minnanotoreca-10347705.webp,(PSA10)ニコ・ロビン(白枠)（R）[OP01-017],,https://dopa-game.jp/one-piece/dp/10347705,,,,10347705,31660,DOPA(ワンピ)
