型番,カード名,レアリティ,画像URL,画像タイトル,元URL,source,src_admin_id
038/036,ゼルネアスEX,,https://minnano-toreka.com/wp-content/uploads/2026/07/038-036_pcg-a12075.webp,ゼルネアスEX[038/036],https://www.pokemon-card.com/assets/images/card_images/large/CP5/035859_P_ZERUNEASUEX.jpg,公式,12075
108/171,スペシャルチャージ,,https://minnano-toreka.com/wp-content/uploads/2026/07/108-171_pcg-a11974.webp,スペシャルチャージ[108/171],https://www.pokemon-card.com/assets/images/card_images/large/XY/033660_T_SUPESHARUCHAJI.jpg,公式,11974
018/020,すごいつりざお,,https://minnano-toreka.com/wp-content/uploads/2026/07/018-020_pcg-a11881.webp,すごいつりざお[018/020],https://www.pokemon-card.com/assets/images/card_images/large/DS/027853_T_SUGOITSURIZAO.jpg,公式,11881
158/171,スカイフィールド,,https://minnano-toreka.com/wp-content/uploads/2026/07/158-171_pcg-a11872.webp,スカイフィールド[158/171],https://www.pokemon-card.com/assets/images/card_images/large/XY/033710_T_SUKAIFIRUDO.jpg,公式,11872
129/131,スカイフィールド,,https://minnano-toreka.com/wp-content/uploads/2026/07/129-131_pcg-a11871.webp,スカイフィールド[129/131],https://www.pokemon-card.com/assets/images/card_images/large/CP4/031994_T_SUKAIFIRUDO.jpg,公式,11871
020/072,サンダー,,https://minnano-toreka.com/wp-content/uploads/2026/07/020-072_pcg-a11564.webp,サンダー[020/072],https://www.pokemon-card.com/assets/images/card_images/large/20th/031670_P_SANDA.jpg,公式,11564
005/026,サトシのピカチュウGX,,https://minnano-toreka.com/wp-content/uploads/2026/07/005-026_pcg-a11517.webp,サトシのピカチュウGX[005/026],https://www.pokemon-card.com/assets/images/card_images/large/SMD/033522_P_SATOSHINOPIKACHUUGX.jpg,公式,11517
155/171,サイレントラボ,,https://minnano-toreka.com/wp-content/uploads/2026/07/155-171_pcg-a11463.webp,サイレントラボ[155/171],https://www.pokemon-card.com/assets/images/card_images/large/XY/033707_T_SAIRENTORABO.jpg,公式,11463
112/165,サイドン,,https://minnano-toreka.com/wp-content/uploads/2026/07/112-165_pcg-a11456.webp,サイドン[112/165],https://www.pokemon-card.com/assets/images/card_images/large/SV2a/043433_P_SAIDON.jpg,公式,11456
184/171,こわいおねえさん,,https://minnano-toreka.com/wp-content/uploads/2026/07/184-171_pcg-a11426.webp,こわいおねえさん[184/171],https://www.pokemon-card.com/assets/images/card_images/large/XY/035885_T_KOWAIONEESAN.jpg,公式,11426
