カード名,レアリティ,型番,画像URL,wp_id,source
アルセウス&ディアルガ&パルキアGX SR:SA,SR,100/095,https://minnano-toreka.com/wp-content/uploads/2026/08/100-095_minnanotoreca-037382.webp,32431,pokemon-card
カメール,,002/032,https://minnano-toreka.com/wp-content/uploads/2026/08/002-032_minnanotoreca-147475.webp,32445,cardrush
レックウザVMAX,HR,082/067,https://minnano-toreka.com/wp-content/uploads/2026/08/082-067_minnanotoreca-96630.webp,32446,cardrush
ミュウV,SR,106/100,https://minnano-toreka.com/wp-content/uploads/2026/08/106-100_minnanotoreca-91163.webp,32447,pokemon-card
ニンフィア,R,068/187,https://minnano-toreka.com/wp-content/uploads/2026/08/068-187_minnanotoreca-471614.webp,32448,pokemon-card
メガゲンガーex,MUR,240/193,https://minnano-toreka.com/wp-content/uploads/2026/08/240-193_minnanotoreca-724996.webp,32449,pokemon-card
メガカイリューex,MUR,246/193,https://minnano-toreka.com/wp-content/uploads/2026/08/246-193_minnanotoreca-730964.webp,32450,pokemon-card
トウホクのピカチュウ,プロモ,260/SV-P,https://minnano-toreka.com/wp-content/uploads/2026/08/260-SV-P_minnanotoreca-618445.webp,32451,pokemon-card
ゲンガー,R,094/165,https://minnano-toreka.com/wp-content/uploads/2026/08/094-165_minnanotoreca-128212.webp,32452,pokemon-card
ピカチュウ セブンイレブン,プロモ,001/S-P,https://minnano-toreka.com/wp-content/uploads/2026/08/001-S-P_minnanotoreca-93381.webp,32453,pokemon-card
メガゲッコウガex,MUR,120/083,https://minnano-toreka.com/wp-content/uploads/2026/09/M4-120-083_minnanotoreca-776371.webp,32574,手動追加(カードラッシュ/高画質へ付け替え)
ピカチュウex,SAR,764/742,https://minnano-toreka.com/wp-content/uploads/2026/09/MC-764-742_minnanotoreca-737036.webp,32588,手動追加(公式/第一弾CSV用に高画質へ)
ピカチュウEX,RR,008/027,https://minnano-toreka.com/wp-content/uploads/2026/08/008-027_minnanotoreca-107388.webp,32456,pokemon-card
イーブイ&カビゴンGX,プロモ,297/SM-P,https://minnano-toreka.com/wp-content/uploads/2026/08/297-SM-P_minnanotoreca-107497.webp,32457,pokemon-card
メガダークライex,MUR,118/081,https://minnano-toreka.com/wp-content/uploads/2026/08/118-081_minnanotoreca-826556.webp,32458,pokemon-card
名探偵ピカチュウ,P,338/SM-P,https://minnano-toreka.com/wp-content/uploads/2026/08/338-SM-P_minnanotoreca-a16811.jpg,32461,cardrush
名探偵ピカチュウ,P,099/S-P,https://minnano-toreka.com/wp-content/uploads/2026/08/099-S-P_minnanotoreca-a17564.jpg,32462,cardrush
ミュウツー&ミュウGX,UR,222/173,https://minnano-toreka.com/wp-content/uploads/2026/08/222-173_minnanotoreca-a7968.jpg,32463,cardrush
かんこうきゃく,SR,192/173,https://minnano-toreka.com/wp-content/uploads/2026/08/192-173_minnanotoreca-a9299.webp,32464,管理画面
拡張パック『ロストアビス』(S11)【未開封BOX】,,,https://minnano-toreka.com/wp-content/uploads/2026/08/S11-BOX_minnanotoreca-a22744.jpg,32465,cardrush
メガリザードンXex MA,MA,223/193,https://minnano-toreka.com/wp-content/uploads/2026/08/223-193_minnanotoreca-722239.jpg,32466,cardrush
拡張パック『イーブイヒーローズ』(S6a)【未開封BOX】,,,https://minnano-toreka.com/wp-content/uploads/2026/08/a1-1_minnanotoreca-a27020.jpg,32063,管理画面
拡張パック『スカイレジェンド』(SM7a)【未開封BOX】,,,https://minnano-toreka.com/wp-content/uploads/2026/08/a1-2_minnanotoreca-a27021.jpg,32062,管理画面
拡張パック『フュージョンアーツ』(S8)【未開封BOX】,,,https://minnano-toreka.com/wp-content/uploads/2026/08/box_minnanotoreca-1731481764131690.webp,31843,管理画面
拡張パック『オルタージェネシス』(SM12)【未開封BOX】,,,https://minnano-toreka.com/wp-content/uploads/2026/08/a1-6_minnanotoreca-a27026.jpg,32057,管理画面
拡張パック『ポケモン151』(SV2a)【未開封BOX】,,,https://minnano-toreka.com/wp-content/uploads/2026/08/151-a16_minnanotoreca-a27027.jpg,32056,管理画面
拡張パック『双璧のファイター』(S5a)【未開封BOX】,,,https://minnano-toreka.com/wp-content/uploads/2026/08/a3_minnanotoreca-a27029.jpg,32054,管理画面
拡張パック『Pokemon GO』(S10b)【未開封BOX】,,,https://minnano-toreka.com/wp-content/uploads/2026/08/Pokemon-GO-a6_minnanotoreca-a27031.jpg,32052,管理画面
フクオカのピカチュウ,プロモ,289/SV-P,https://minnano-toreka.com/wp-content/uploads/2026/08/289-SV-P_minnanotoreca-a26934.png,32090,管理画面
エネル SEC-SP (コミパラ),SEC,OP15-118,https://minnano-toreka.com/wp-content/uploads/2026/09/OP15-118_minnanotoreca-764635.webp,32471,手動追加(DOPA)
サボ SEC-SP (コミパラ),SEC,OP13-120,https://minnano-toreka.com/wp-content/uploads/2026/09/OP13-120_minnanotoreca-676006.webp,32472,手動追加(DOPA)
ジュラキュール・ミホーク SEC-SP (コミパラ),SEC,OP14-119,https://minnano-toreka.com/wp-content/uploads/2026/09/OP14-119_minnanotoreca-728159.webp,32473,手動追加(DOPA)
ナミ SR-SPC,SR,EB03-053,https://minnano-toreka.com/wp-content/uploads/2026/09/EB03-053_minnanotoreca-710436-1.webp,32548,手動追加(カードラッシュ/高画質へ付け替え)
ロロノア・ゾロ R-SPC,R,PRB02-006,https://minnano-toreka.com/wp-content/uploads/2026/09/PRB02-006_minnanotoreca-751310.webp,32475,手動追加(DOPA)
ミス・オールサンデー SR-SPC,SR,OP14-084,https://minnano-toreka.com/wp-content/uploads/2026/09/OP14-084_minnanotoreca-822582-2.webp,32562,手動追加(カードラッシュ/高画質へ付け替え)
モンキー・D・ルフィ SR-SPC,SR,ST26-005,https://minnano-toreka.com/wp-content/uploads/2026/09/ST26-005_minnanotoreca-764639-1.webp,32559,手動追加(カードラッシュ/高画質へ付け替え)
ギア2 R-P,R,OP11-080,https://minnano-toreka.com/wp-content/uploads/2026/09/OP11-080_minnanotoreca-520548-1.webp,32584,手動追加(カードラッシュ/第一弾CSV用に高画質へ)
ボア・ハンコック SR-SPC,SR,OP12-014,https://minnano-toreka.com/wp-content/uploads/2026/09/OP12-014_minnanotoreca-764614.webp,32479,手動追加(DOPA)
ピカチュウ,プロモ,227/S-P,https://minnano-toreka.com/wp-content/uploads/2026/09/227-S-P_minnanotoreca-91118.webp,32480,手動追加(公式)
ビクティニ,プロモ,288/SV-P,https://minnano-toreka.com/wp-content/uploads/2026/09/288-SV-P_minnanotoreca-585230.webp,32481,手動追加(公式)
メガリザードンXex,SAR,110/080,https://minnano-toreka.com/wp-content/uploads/2026/09/110-080_minnanotoreca-704401.webp,32482,手動追加(公式)
漫才ごっこピカチュウ,プロモ,407/SM-P,https://minnano-toreka.com/wp-content/uploads/2026/09/407-SM-P_minnanotoreca-127035.webp,32483,手動追加(公式)
お茶会ごっこピカチュウ,プロモ,325/SM-P,https://minnano-toreka.com/wp-content/uploads/2026/09/325-SM-P_minnanotoreca-91260.webp,32484,手動追加(公式)
シブヤのピカチュウ,プロモ,002/S-P,https://minnano-toreka.com/wp-content/uploads/2026/09/002-S-P_minnanotoreca-91127.webp,32485,手動追加(公式)
ピカチュウ C: マスターボールミラー (マスボピカチュウ),C,025/165,https://minnano-toreka.com/wp-content/uploads/2026/09/SV2a-025-165_minnanotoreca-128147.webp,32572,手動追加(カードラッシュ/高画質へ付け替え)
メガサーナイトex,MUR,092/063,https://minnano-toreka.com/wp-content/uploads/2026/09/M1S-092-063_minnanotoreca-663661.webp,32573,手動追加(カードラッシュ/高画質へ付け替え)
メガルカリオex,MUR,092/063,https://minnano-toreka.com/wp-content/uploads/2026/09/M1L-092-063_minnanotoreca-663638.webp,32576,手動追加(カードラッシュ/高画質へ付け替え)
モンキー・D・ルフィ,P,P-001,https://minnano-toreka.com/wp-content/uploads/2026/09/P-001_minnanotoreca-157931.webp,32489,手動追加(スニダン)
サンジ SEC-SP (コミパラ),,OP06-119,https://minnano-toreka.com/wp-content/uploads/2026/09/OP06-119_minnanotoreca-653291.webp,32490,手動追加(スニダン/apparel ID一致)
モンキー・D・ルフィ,,ST21-014,https://minnano-toreka.com/wp-content/uploads/2026/09/ST21-014_minnanotoreca-605546-1.webp,32580,手動追加(カードラッシュ/第一弾CSV用に高画質へ)
シャンクス SEC-SP (コミパラ),,OP01-120,https://minnano-toreka.com/wp-content/uploads/2026/09/OP01-120_minnanotoreca-93520-1.webp,32578,手動追加(カードラッシュ/切り出し不正を修正)
モンキー・Ｄ・ルフィ SEC-SPC,,EB02-061,https://minnano-toreka.com/wp-content/uploads/2026/09/EB02-061_minnanotoreca-656303-1.webp,32581,手動追加(カードラッシュ/第一弾CSV用に高画質へ)
モンキー・D・ルフィ：手配書 SEC-SPC,,OP13-118,https://minnano-toreka.com/wp-content/uploads/2026/09/OP13-118_minnanotoreca-676009-1.webp,32555,手動追加(カードラッシュ/高画質へ付け替え)
ロロノア・ゾロ SEC-SP (コミパラ),,OP06-118,https://minnano-toreka.com/wp-content/uploads/2026/09/OP06-118_minnanotoreca-159664-1.webp,32579,手動追加(カードラッシュ/第一弾CSV用に高画質へ)
シルバーズ･レイリー SEC-SP (コミパラ),,OP08-118,https://minnano-toreka.com/wp-content/uploads/2026/09/OP08-118_minnanotoreca-265745-1.webp,32563,手動追加(カードラッシュ/高画質へ付け替え)
ポートガス・D・エース SR-SP (コミパラ),,OP02-013,https://minnano-toreka.com/wp-content/uploads/2026/09/OP02-013_minnanotoreca-102434.webp,32497,手動追加(スニダン/apparel ID一致)
ボア・ハンコック SR-SP (コミパラ),,OP07-051,https://minnano-toreka.com/wp-content/uploads/2026/09/OP07-051_minnanotoreca-198723-1.webp,32550,手動追加(カードラッシュ/高画質へ付け替え)
ボア・ハンコック SR-SPC,,EB03-026,https://minnano-toreka.com/wp-content/uploads/2026/09/EB03-026_minnanotoreca-710430.webp,32499,手動追加(スニダン/apparel ID一致)
メガサーナイトex,,092/063,https://minnano-toreka.com/wp-content/uploads/2026/09/M1S-092-063_minnanotoreca-663661.webp,32573,手動追加(カードラッシュ/高画質へ付け替え)
ゾロ十郎 R-SPC,,OP05-067,https://minnano-toreka.com/wp-content/uploads/2026/09/OP05-067_minnanotoreca-349481-1.webp,32566,手動追加(カードラッシュ/高画質へ付け替え)
ロロノア・ゾロ,,ST21-015,https://minnano-toreka.com/wp-content/uploads/2026/09/ST21-015_minnanotoreca-635880-2.webp,32567,手動追加(カードラッシュ/高画質へ付け替え)
モンキー・D・ルフィ,,OP09-061,https://minnano-toreka.com/wp-content/uploads/2026/09/OP09-061_minnanotoreca-744853-1.webp,32554,手動追加(カードラッシュ/高画質へ付け替え)
モンキー・D・ルフィ SEC-SPC,,OP09-119,https://minnano-toreka.com/wp-content/uploads/2026/09/OP09-119_minnanotoreca-676017-1.webp,32582,手動追加(カードラッシュ/第一弾CSV用に高画質へ)
メガルカリオex,,092/063,https://minnano-toreka.com/wp-content/uploads/2026/09/M1L-092-063_minnanotoreca-663638.webp,32576,手動追加(カードラッシュ/高画質へ付け替え)
そげキング SEC-SP (コミパラ),,OP03-122,https://minnano-toreka.com/wp-content/uploads/2026/09/OP03-122_minnanotoreca-112979-1.webp,32577,手動追加(カードラッシュ/切り出し不正を修正)
モンキー・D・ルフィ SEC-SP (コミパラ),,OP11-118,https://minnano-toreka.com/wp-content/uploads/2026/09/OP11-118_minnanotoreca-519929-1.webp,32543,手動追加(カードラッシュ/高画質へ付け替え)
モンキー・D・ルフィ,,ST13-003,https://minnano-toreka.com/wp-content/uploads/2026/09/ST13-003_minnanotoreca-556832-2.webp,32552,手動追加(カードラッシュ/高画質へ付け替え)
モンキー・Ｄ・ルフィ SEC-SP (コミパラ),,OP13-118,https://minnano-toreka.com/wp-content/uploads/2026/09/OP13-118_minnanotoreca-676002-1.webp,32545,手動追加(カードラッシュ/高画質へ付け替え)
ポートガス・Ｄ・エース SEC-SP (コミパラ),,OP13-119,https://minnano-toreka.com/wp-content/uploads/2026/09/OP13-119_minnanotoreca-676004-1.webp,32544,手動追加(カードラッシュ/高画質へ付け替え)
メガゲッコウガex,,120/083,https://minnano-toreka.com/wp-content/uploads/2026/09/M4-120-083_minnanotoreca-776371.webp,32574,手動追加(カードラッシュ/高画質へ付け替え)
