元の表記,みんトレ表記,メモ
【PSA10】ナギ SR [XY6 088/078](拡張パック「エメラルドブレイク」),【PSA10】ナギ SR [XY6 088/078],9/24 05:2x に一時的に入った長い表記（収録パック付き）
【PSA10】【状態難】アララギ博士 SR [BW8-K 055/051](拡張パック「ライデンナックル」),【PSA10】【状態難】アララギ博士 SR [BW8-K 055/051],9/24 05:2x に一時的に入った長い表記（収録パック付き）
【PSA10】【状態難】N SR: 1ED [BW2 071/066](拡張パック「レッドコレクション」),【PSA10】【状態難】N SR: 1ED [BW2 071/066],9/24 05:2x に一時的に入った長い表記（収録パック付き）
MレックウザEX: プロモ [S8a-P 024/025](プロモカードパック 25th ANNIVERSARY edition),MレックウザEX: プロモ [S8a-P 024/025],9/24 05:2x に一時的に入った長い表記（収録パック付き）
【PSA10】リーリエ エクストラバトルの日2019年: プロモ [SM-P 397](プロモーションカード「SM-P」),【PSA10】リーリエ エクストラバトルの日2019年: プロモ [SM-P 397],9/24 05:2x に一時的に入った長い表記（収録パック付き）
